author	comment
@nathalym7331	Is it true it says I have to pay to get a certificate?
@catworld557	Is worth learning UX/UI designing in Coursera?
@catworld557	 @RichardWalls  Thank you
@IK-fg4gw	Cert hard or soft copy?
@socratesalvim5557	What do you think about MasterTrack certificate? i was thinking to do, but the price is high and i didnt find feedback
@socratesalvim5557	 @RichardWalls  thanks Bro!
@shivankk467	But whicj course is useful for more job opportunity
@ER-sv1np	จ้าง อ มหาลัยมาทำ ที่สอนสู้ yt ไม่ได้ คนส่วนใหญ่ไม่ได้อยากได้ความรู้  คนที่อยากได้ก็ไม่มีตรง
@artistrenibifamovon	regards
@zohaiqbal2775	Hello  Now a days Coursera is providing Master's and Bachelor's degree courses is it Valid to learn on Coursera? And do they provide Financial aid/ free degree if we apply financial aid for this Bachelor's degree?
@GFreeland850	Are the courses updated frequently?
@IK-fg4gw	Is there any courses on there where you get free cert after completion of the course without even applying for financial aid?
@desperatelyseekingfun7305	Can someone do some courses in Coursera or EdX for me. I will pay him money. I just need the certificate by my name. It will be of great help.
@BlackberryRoberts	Does it work for international students
@YueGao	Yes, it does.
@andresc1987	It is estressful how low you speak
@andresc1987	 @RichardWalls  sorry I meant slow, not low
@saw31489	You're joking right?\n\nCoursera is a scam
@seunalomasojo4957	Hello sir, good evening.. this video has been helpful.. im thinking of starting a course in Coursera. I have lots of questions. I don’t know if you can give me your IG account. I’ll be most grateful.
@OmarMohamed-gd6xo	Thank you
